Country,Artist,Song,Language[8][9],Points,Place[10],Order,Year
Yugoslavia,Ivan and 4M,"""Pozdrav svijetu"" (Поздрав свијету)",Serbo-Croatian,5,13,1,1969
Luxembourg,Romuald,"""Catherine""",French,7,11,2,1969
Spain,Salomé,"""Vivo cantando""",Spanish,18,1,3,1969
Monaco,Jean Jacques,"""Maman, maman""",French,11,6,4,1969
Ireland,Muriel Day and the Lindsays,"""The Wages of Love""",English,10,7,5,1969
Italy,Iva Zanicchi,"""Due grosse lacrime bianche""",Italian,5,13,6,1969
United Kingdom,Lulu,"""Boom Bang-a-Bang""",English,18,1,7,1969
Netherlands,Lenny Kuhr,"""De troubadour""",Dutch,18,1,8,1969
Sweden,Tommy Körberg,"""Judy, min vän""",Swedish,8,9,9,1969
Belgium,Louis Neefs,"""Jennifer Jennings""",Dutch,10,7,10,1969
Switzerland,Paola del Medico,"""Bonjour, Bonjour""",German,13,5,11,1969
Norway,Kirsti Sparboe,"""Oj, oj, oj, så glad jeg skal bli""",Norwegian,1,16,12,1969
Germany,Siw Malmkvist,"""Primaballerina""",German,8,9,13,1969
France,Frida Boccara,"""Un jour, un enfant""",French,18,1,14,1969
Portugal,Simone de Oliveira,"""Desfolhada portuguesa""",Portuguese,4,15,15,1969
Finland,Jarkko and Laura,"""Kuin silloin ennen""",Finnish,6,12,16,1969
