Country,Artist,Song,Language[5][6],Points,Place[7],Order,Year
United Kingdom,Ronnie Carroll,"""Say Wonderful Things""",English,28,4,1,1963
Netherlands,Annie Palmen,"""Een speeldoos""",Dutch,0,13,2,1963
Germany,Heidi Brühl,"""Marcel""",German,5,9,3,1963
Austria,Carmela Corren,"""Vielleicht geschieht ein Wunder""","German, English",16,7,4,1963
Norway,Anita Thallaug,"""Solhverv""",Norwegian,0,13,5,1963
Italy,Emilio Pericoli,"""Uno per tutte""",Italian,37,3,6,1963
Finland,Laila Halme,"""Muistojeni laulu""",Finnish,0,13,7,1963
Denmark,Grethe and Jørgen Ingmann,"""Dansevise""",Danish,42,1,8,1963
Yugoslavia,Vice Vukov,"""Brodovi"" (Бродови)",Serbo-Croatian,3,11,9,1963
Switzerland,Esther Ofarim,"""T'en va pas""",French,40,2,10,1963
France,Alain Barrière,"""Elle était si jolie""",French,25,5,11,1963
Spain,José Guardiola,"""Algo prodigioso""",Spanish,2,12,12,1963
Sweden,Monica Zetterlund,"""En gång i Stockholm""",Swedish,0,13,13,1963
Belgium,Jacques Raymond,"""Waarom?""",Dutch,4,10,14,1963
Monaco,Françoise Hardy,"""L'Amour s'en va""",French,25,5,15,1963
Luxembourg,Nana Mouskouri,"""À force de prier""",French,13,8,16,1963
