Country,Artist,Song,Language[5][6],Points,Place[7],Order,Year
Germany,Margot Eskens,"""Die Zeiger der Uhr""",German,7,10,1,1966
Denmark,Ulla Pia,"""Stop – mens legen er go'""",Danish,4,14,2,1966
Belgium,Tonia,"""Un peu de poivre, un peu de sel""",French,14,4,3,1966
Luxembourg,Michèle Torr,"""Ce soir je t'attendais""",French,7,10,4,1966
Yugoslavia,Berta Ambrož,"""Brez besed""",Slovene,9,7,5,1966
Norway,Åse Kleveland,"""Intet er nytt under solen""",Norwegian,15,3,6,1966
Finland,Ann-Christine Nyström,"""Playboy""",Finnish,7,10,7,1966
Portugal,Madalena Iglésias,"""Ele e ela""",Portuguese,6,13,8,1966
Austria,Udo Jürgens,"""Merci, Chérie""",German[a],31,1,9,1966
Sweden,Lill Lindfors and Svante Thuresson,"""Nygammal vals""",Swedish,16,2,10,1966
Spain,Raphael,"""Yo soy aquél""",Spanish,9,7,11,1966
Switzerland,Madeleine Pascal,"""Ne vois-tu pas ?""",French,12,6,12,1966
Monaco,Téréza,"""Bien plus fort""",French,0,17,13,1966
Italy,Domenico Modugno,"""Dio, come ti amo""",Italian,0,17,14,1966
France,Dominique Walter,"""Chez nous""",French,1,16,15,1966
Netherlands,Milly Scott,"""Fernando en Filippo""",Dutch,2,15,16,1966
Ireland,Dickie Rock,"""Come Back to Stay""",English,14,4,17,1966
United Kingdom,Kenneth McKellar,"""A Man Without Love""",English,8,9,18,1966
