Country,Artist,Song,Language,Points,Place,Order,Year
Turkey,Şebnem Paker,"""Beşinci Mevsim""",Turkish,57,12,1,1996
United Kingdom,Gina G,"""Ooh Aah... Just a Little Bit""",English,77,8,2,1996
Spain,Antonio Carbonell,"""¡Ay, qué deseo!""",Spanish,17,20,3,1996
Portugal,Lúcia Moniz,"""O meu coração não tem cor""",Portuguese,92,6,4,1996
Cyprus,Constantinos,"""Mono gia mas"" (Μόνο για μας)",Greek,72,9,5,1996
Malta,Miriam Christine,"""In a Woman's Heart""",English,68,10,6,1996
Croatia,Maja Blagdan,"""Sveta ljubav""",Croatian,98,4,7,1996
Austria,George Nussbaumer,"""Weil's dr guat got""",German[a],68,10,8,1996
Switzerland,Kathy Leander,"""Mon cœur l'aime""",French,22,16,9,1996
Greece,Marianna Efstratiou,"""Emis forame to himona anixiatika""(Εμείς φοράμε το χειμώνα ανοιξιάτικα)",Greek,36,14,10,1996
Estonia,Maarja-Liis Ilus and Ivo Linna,"""Kaelakee hääl""",Estonian,94,5,11,1996
Norway,Elisabeth Andreassen,"""I evighet""",Norwegian,114,2,12,1996
France,Dan Ar Braz and l'Héritage des Celtes,"""Diwanit bugale""",Breton,18,19,13,1996
Slovenia,Regina,"""Dan najlepših sanj""",Slovene,16,21,14,1996
Netherlands,Maxine and Franklin Brown,"""De eerste keer""",Dutch,78,7,15,1996
Belgium,Lisa del Bo,"""Liefde is een kaartspel""",Dutch,22,16,16,1996
Ireland,Eimear Quinn,"""The Voice""",English,162,1,17,1996
Finland,Jasmine,"""Niin kaunis on taivas""",Finnish,9,23,18,1996
Iceland,Anna Mjöll,"""Sjúbídú""",Icelandic,51,13,19,1996
Poland,Kasia Kowalska,"""Chcę znać swój grzech...""",Polish,31,15,20,1996
Bosnia and Herzegovina,Amila Glamočak,"""Za našu ljubav""",Bosnian,13,22,21,1996
Slovakia,Marcel Palonder,"""Kým nás máš""",Slovak,19,18,22,1996
Sweden,One More Time,"""Den vilda""",Swedish,100,3,23,1996
