Country,Artist,Song,Language,Points,Order,Place,Year
Bosnia and Herzegovina,Marija Šesti?,"""Rijeka bez imena"" ",Serbian,106,1,11,2007
Spain,D'Nash,"""I Love You Mi Vida""",Spanish,43,2,20,2007
Belarus,Koldun,"""Work Your Magic""",English,145,3,6,2007
Ireland,Dervish,"""They Can't Stop the Spring""",English,5,4,24,2007
Finland,Hanna Pakarinen,"""Leave Me Alone""",English,53,5,17,2007
Macedonia,Karolina,"""Mojot svet"" (????? ????)","Macedonian, English",73,6,14,2007
Slovenia,Alenka Gotar,"""Cvet z juga""",Slovene,66,7,15,2007
Hungary,Magdi Rúzsa,"""Unsubstantial Blues""",English,128,8,9,2007
Lithuania,4Fun,"""Love or Leave""",English,28,9,21,2007
Greece,Sarbel,"""Yassou Maria"" (???? ??? ?????)",English,139,10,7,2007
Georgia,Sopho,"""Visionary Dream""",English,97,11,12,2007
Sweden,The Ark,"""The Worrying Kind""",English,51,12,18,2007
France,Les Fatals Picards,"""L'Amour à la française""","French, English ",19,13,22,2007
Latvia,Bonaparti.lv,"""Questa notte""",Italian,54,14,16,2007
Russia,Serebro,"""Song #1""",English,207,15,3,2007
Germany,Roger Cicero,"""Frauen regier'n die Welt""","German, English",49,16,19,2007
Serbia,Marija Šerifovi?,"""Molitva"" (???????)",Serbian,268,17,1,2007
Ukraine,Verka Serduchka,"""Dancing Lasha Tumbai""","German, English, Surzhyk",235,18,2,2007
United Kingdom,Scooch,"""Flying the Flag (For You)""",English,19,19,22,2007
Romania,Todomondo,"""Liubi, Liubi, I Love You""","English, Italian, Spanish, Russian, French, Romanian",84,20,13,2007
Bulgaria,Elitsa Todorova and Stoyan Yankoulov,"""Water""",Bulgarian,157,21,5,2007
Turkey,Kenan Do?ulu,"""Shake It Up ?ekerim""",English,163,22,4,2007
Armenia,Hayko,"""Anytime You Need""","English, Armenian",138,23,8,2007
Moldova,Natalia Barbu,"""Fight""",English,109,24,10,2007
