Country,Artist,Song,Language,Points,Place,Order,Year
Croatia,Danijela,"""Neka mi ne svane""",Croatian,131,5,1,1998
Greece,Thalassa,"""Mia krifi evaisthisia"" (Μια κρυφή ευαισθησία)",Greek,12,20,2,1998
France,Marie Line,"""Où aller""",French,3,24,3,1998
Spain,Mikel Herzog,"""¿Qué voy a hacer sin ti?""",Spanish,21,16,4,1998
Switzerland,Gunvor,"""Lass ihn""",German,0,25,5,1998
Slovakia,Katarína Hasprová,"""Modlitba""",Slovak,8,21,6,1998
Poland,Sixteen,"""To takie proste""",Polish,19,17,7,1998
Israel,Dana International,"""Diva"" (דיווה)",Hebrew,172,1,8,1998
Germany,Guildo Horn,"""Guildo hat euch lieb!""",German,86,7,9,1998
Malta,Chiara,"""The One That I Love""",English,165,3,10,1998
Hungary,Charlie,"""A holnap már nem lesz szomorú""",Hungarian,4,23,11,1998
Slovenia,Vili Resnik,"""Naj bogovi slišijo""",Slovene,17,18,12,1998
Ireland,Dawn Martin,"""Is Always Over Now?""",English,64,9,13,1998
Portugal,Alma Lusa,"""Se eu te pudesse abraçar""",Portuguese,36,12,14,1998
Romania,Mălina Olinescu,"""Eu cred""",Romanian,6,22,15,1998
United Kingdom,Imaani,"""Where Are You?""",English,166,2,16,1998
Cyprus,Michael Hajiyanni,"""Genesis"" (Γένεσις)",Greek,37,11,17,1998
Netherlands,Edsilia,"""Hemel en aarde""",Dutch,150,4,18,1998
Sweden,Jill Johnson,"""Kärleken är""",Swedish,53,10,19,1998
Belgium,Mélanie Cohl,"""Dis oui""",French,122,6,20,1998
Finland,Edea,"""Aava""",Finnish,22,15,21,1998
Norway,Lars A. Fredriksen,"""Alltid sommer""",Norwegian,79,8,22,1998
Estonia,Koit Toome,"""Mere lapsed""",Estonian,36,12,23,1998
Turkey,Tüzmen,"""Unutamazsın""",Turkish,25,14,24,1998
Macedonia,Vlado Janevski,"""Ne zori, zoro"" (Не зори, зоро)",Macedonian,16,19,25,1998
