Country,Artist,Song,Language[14],Points,Place[15],Order,Year
Netherlands,Michelle,"""Out on My Own""",English,16,18,1,2001
Iceland,Two Tricky,"""Angel""",English,3,22,2,2001
Bosnia and Herzegovina,Nino,"""Hano""","Bosnian, English",29,14,3,2001
Norway,Haldor Lægreid,"""On My Own""",English,3,22,4,2001
Israel,Tal Sondak,"""Ein Davar"" (אין דבר)",Hebrew,25,16,5,2001
Russia,Mumiy Troll,"""Lady Alpine Blue""",English,37,12,6,2001
Sweden,Friends,"""Listen to Your Heartbeat""",English,100,5,7,2001
Lithuania,Skamp,"""You Got Style""","English, Lithuanian[b]",35,13,8,2001
Latvia,Arnis Mednis,"""Too Much""",English,16,18,9,2001
Croatia,Vanna,"""Strings of My Heart""",English,42,10,10,2001
Portugal,MTM,"""Só sei ser feliz assim""",Portuguese,18,17,11,2001
Ireland,Gary O'Shaughnessy,"""Without Your Love""",English,6,21,12,2001
Spain,David Civera,"""Dile que la quiero""",Spanish,76,6,13,2001
France,Natasha St-Pier,"""Je n'ai que mon âme""","French, English",142,4,14,2001
Turkey,Sedat Yüce,"""Sevgiliye Son""","Turkish, English",41,11,15,2001
United Kingdom,Lindsay Dracass,"""No Dream Impossible""",English,28,15,16,2001
Slovenia,Nuša Derenda,"""Energy""",English,70,7,17,2001
Poland,Piasek,"""2 Long""",English,11,20,18,2001
Germany,Michelle,"""Wer Liebe lebt""","German, English",66,8,19,2001
Estonia,"Tanel Padar, Dave Benton and 2XL","""Everybody""",English,198,1,20,2001
Malta,Fabrizio Faniello,"""Another Summer Night""",English,48,9,21,2001
Greece,Antique,"""Die for You""","Greek, English",147,3,22,2001
Denmark,Rollo and King,"""Never Ever Let You Go""",English,177,2,23,2001
