Unnamed: 0,Country,Artist,Song,Language,Points,Order,Place,Year
0,Cyprus,One,"""Gimme""",English,85,1,6,2002
1,United Kingdom,Jessica Garlick,"""Come Back""",English,111,2,0,2002
2,Austria,Manuel Ortega,"""Say a Word""",English,26,3,18,2002
3,Greece,Michalis Rakintzis,"""S.A.G.A.P.O.""",English,27,4,17,2002
4,Spain,Rosa,"""Europe's Living a Celebration""",Spanish,81,5,7,2002
5,Croatia,Vesna Pisarović,"""Everything I Want""",English,44,6,11,2002
6,Russia,Prime Minister,"""Northern Girl""",English,55,7,10,2002
7,Estonia,Sahlene,"""Runaway""",English,111,8,3,2002
8,Macedonia,Karolina,"""Od nas zavisi"" ",Macedonian,25,9,19,2002
9,Israel,Sarit Hadad,"""Light a Candle""","Hebrew, English",37,10,12,2002
10,Switzerland,Francine Jordi,"""Dans le jardin de mon âme""",French,15,11,22,2002
11,Sweden,Afro-dite,"""Never Let It Go""",English,72,12,8,2002
12,Finland,Laura,"""Addicted to You""",English,24,13,20,2002
13,Denmark,Malene,"""Tell Me Who You Are""",English,7,14,24,2002
14,Bosnia and Herzegovina,Maja,"""Na jastuku za dvoje""","Serbian, English",33,15,13,2002
15,Belgium,Sergio and the Ladies,"""Sister""",English,33,16,13,2002
16,France,Sandrine François,"""Il faut du temps""",French,104,17,5,2002
17,Germany,Corinna May,"""I Can't Live Without Music""",English,17,18,21,2002
18,Turkey,Buket Bengisu and Group Safir,"""Leylaklar Soldu Kalbinde""","Turkish, English",29,19,16,2002
19,Malta,Ira Losco,"""7th Wonder""",English,164,20,2,2002
20,Romania,Monica Anghel and Marcel Pavel,"""Tell Me Why""",English,71,21,9,2002
21,Slovenia,Sestre,"""Samo ljubezen""",Slovene,33,22,13,2002
22,Latvia,Marie N,"""I Wanna""",English,176,23,1,2002
23,Lithuania,Aivaras,"""Happy You""",English,12,24,23,2002
