Unnamed: 0,Country,Artist,Song,Language,Points,Place,Order,Year
0,Cyprus,Elena Tsagrinou,"""El Diablo""",English[h],94,16,1,2021
1,Albania,Anxhela Peristeri,"""Karma""",Albanian,57,21,2,2021
2,Israel,Eden Alene,"""Set Me Free""",English[i],93,17,3,2021
3,Belgium,Hooverphonic,"""The Wrong Place""",English,74,19,4,2021
4,Russia,Manizha,"""Russian Woman""","Russian, English",204,9,5,2021
5,Malta,Destiny,"""Je me casse""",English[k],255,7,6,2021
6,Portugal,The Black Mamba,"""Love Is on My Side""",English,153,12,7,2021
7,Serbia,Hurricane,"""Loco Loco""",Serbian[p],102,15,8,2021
8,United Kingdom,James Newman,"""Embers""",English,0,26,9,2021
9,Greece,Stefania,"""Last Dance""",English,170,10,10,2021
10,Switzerland,Gjon's Tears,"""Tout l'univers""",French,432,3,11,2021
11,Iceland[o],Daði og Gagnamagnið,"""10 Years""",English,378,4,12,2021
12,Spain,Blas Cantó,"""Voy a quedarme""",Spanish,6,24,13,2021
13,Moldova,Natalia Gordienko,"""Sugar""",English,115,13,14,2021
14,Germany,Jendrik,"""I Don't Feel Hate""",English[q],3,25,15,2021
15,Finland,Blind Channel,"""Dark Side""",English,301,6,16,2021
16,Bulgaria,Victoria,"""Growing Up Is Getting Old""",English,170,11,17,2021
17,Lithuania,The Roop,"""Discoteque""",English,220,8,18,2021
18,Ukraine,Go_A,"""Shum"" (Шум)",Ukrainian,364,5,19,2021
19,France,Barbara Pravi,"""Voilà""",French,499,2,20,2021
20,Azerbaijan,Efendi,"""Mata Hari""",English[j],65,20,21,2021
21,Norway,Tix,"""Fallen Angel""",English,75,18,22,2021
22,Netherlands,Jeangu Macrooy,"""Birth of a New Age""","English, Sranan Tongo",11,23,23,2021
23,Italy,Måneskin,"""Zitti e buoni""",Italian,524,1,24,2021
24,Sweden,Tusse,"""Voices""",English,109,14,25,2021
25,San Marino,Senhit[l],"""Adrenalina""",English[m],50,22,26,2021
