Unnamed: 0,Country,Artist,Song,Language,Points,Place,Order,Year
0,Yugoslavia,Baby Doll,"""Brazil"" (Бразил)",Serbo-Croatian,1,21,1,1991
1,Iceland,Stefán and Eyfi,"""Nína""",Icelandic,26,15,2,1991
2,Malta,Paul Giordimaina and Georgina,"""Could It Be""",English,106,6,3,1991
3,Greece,Sophia Vossou,"""I anixi"" (Η άνοιξη)",Greek,36,13,4,1991
4,Switzerland,Sandra Simó,"""Canzone per te""",Italian,118,5,5,1991
5,Austria,Thomas Forstner,"""Venedig im Regen""",German,0,22,6,1991
6,Luxembourg,Sarah Bray,"""Un baiser volé""",French,29,14,7,1991
7,Sweden,Carola,"""Fångad av en stormvind""",Swedish,146,1,8,1991
8,France,Amina,"""C'est le dernier qui a parlé qui a raison""",French,146,2,9,1991
9,Turkey,"İzel Çeliköz, Reyhan Karaca and Can Uğurluer","""İki Dakika""",Turkish,44,12,10,1991
10,Ireland,Kim Jackson,"""Could It Be That I'm in Love""",English,47,10,11,1991
11,Portugal,Dulce,"""Lusitana paixão""",Portuguese,62,8,12,1991
12,Denmark,Anders Frandsen,"""Lige der hvor hjertet slår""",Danish,8,19,13,1991
13,Norway,Just 4 Fun,"""Mrs. Thompson""",Norwegian,14,17,14,1991
14,Israel,Duo Datz,"""Kan"" (כאן)",Hebrew,139,3,15,1991
15,Finland,Kaija,"""Hullu yö""",Finnish,6,20,16,1991
16,Germany,Atlantis 2000,"""Dieser Traum darf niemals sterben""",German,10,18,17,1991
17,Belgium,Clouseau,"""Geef het op""",Dutch,23,16,18,1991
18,Spain,Sergio Dalma,"""Bailar pegados""",Spanish,119,4,19,1991
19,United Kingdom,Samantha Janus,"""A Message to Your Heart""",English,47,10,20,1991
20,Cyprus,Elena Patroklou,"""SOS""",Greek,60,9,21,1991
21,Italy,Peppino di Capri,"""Comme è ddoce 'o mare""",Neapolitan,89,7,22,1991
