Unnamed: 0,Country,Artist,Song,Language,Points,Place,Order,Year
0,Iceland,Beathoven,"""Þú og þeir (Sókrates)""",Icelandic,20,16,1,1988
1,Sweden,Tommy Körberg,"""Stad i ljus""",Swedish,52,12,2,1988
2,Finland,Boulevard,"""Nauravat silmät muistetaan""",Finnish,3,20,3,1988
3,United Kingdom,Scott Fitzgerald,"""Go""",English,136,2,4,1988
4,Turkey,MFÖ,"""Sufi""",Turkish,37,15,5,1988
5,Spain,La Década,"""La chica que yo quiero (Made in Spain)""",Spanish,58,11,6,1988
6,Netherlands,Gerard Joling,"""Shangri-La""",Dutch,70,9,7,1988
7,Israel,Yardena Arazi,"""Ben Adam"" (בן אדם)",Hebrew,85,7,8,1988
8,Switzerland,Céline Dion,"""Ne partez pas sans moi""",French,137,1,9,1988
9,Ireland,Jump the Gun,"""Take Him Home""",English,79,8,10,1988
10,Germany,Maxi and Chris Garden,"""Lied für einen Freund""",German,48,14,11,1988
11,Austria,Wilfried,"""Lisa Mona Lisa""",German,0,21,12,1988
12,Denmark,Hot Eyes,"""Ka' du se hva' jeg sa'?""",Danish,92,3,13,1988
13,Greece,Afroditi Frida,"""Clown"" (Κλόουν)",Greek,10,17,14,1988
14,Norway,Karoline Krüger,"""For vår jord""",Norwegian,88,5,15,1988
15,Belgium,Reynaert,"""Laissez briller le soleil""",French,5,18,16,1988
16,Luxembourg,Lara Fabian,"""Croire""",French,90,4,17,1988
17,Italy,Luca Barbarossa,"""Vivo (Ti scrivo)""",Italian,52,12,18,1988
18,France,Gérard Lenorman,"""Chanteur de charme""",French,64,10,19,1988
19,Portugal,Dora,"""Voltarei""",Portuguese,5,18,20,1988
20,Yugoslavia,Srebrna krila [n 1],"""Mangup"" (Мангуп)",Serbo-Croatian,87,6,21,1988
