Unnamed: 0,Country,Artist,Song,Language,Points,Place,Order,Year
0,Luxembourg,Sherisse Laurence,"""L'Amour de ma vie""",French,117,3,1,1986
1,Yugoslavia,Doris Dragović,"""Željo moja"" (Жељо моја)",Serbo-Croatian,49,11,2,1986
2,France,Cocktail Chic,"""Européennes""",French,13,17,3,1986
3,Norway,Ketil Stokkan,"""Romeo""",Norwegian,44,12,4,1986
4,United Kingdom,Ryder,"""Runner in the Night""",English,72,7,5,1986
5,Iceland,ICY,"""Gleðibankinn""",Icelandic,19,16,6,1986
6,Netherlands,Frizzle Sizzle,"""Alles heeft ritme""",Dutch,40,13,7,1986
7,Turkey,Klips ve Onlar,"""Halley""",Turkish[a],53,9,8,1986
8,Spain,Cadillac,"""Valentino""",Spanish,51,10,9,1986
9,Switzerland,Daniela Simons,"""Pas pour moi""",French,140,2,10,1986
10,Israel,Moti Giladi and Sarai Tzuriel,"""Yavo Yom"" (יבוא יום)",Hebrew,7,19,11,1986
11,Ireland,Luv Bug,"""You Can Count On Me""",English,96,4,12,1986
12,Belgium,Sandra Kim,"""J'aime la vie""",French,176,1,13,1986
13,Germany,Ingrid Peters,"""Über die Brücke geh'n""",German,62,8,14,1986
14,Cyprus,Elpida,"""Tora zo"" (Τώρα ζω)",Greek,4,20,15,1986
15,Austria,Timna Brauer,"""Die Zeit ist einsam""",German,12,18,16,1986
16,Sweden,Lasse Holm and Monica Törnell,"""E' de' det här du kallar kärlek?""",Swedish,78,5,17,1986
17,Denmark,Lise Haavik,"""Du er fuld af løgn""",Danish,77,6,18,1986
18,Finland,Kari Kuivalainen,"""Never the End""",Finnish,22,15,19,1986
19,Portugal,Dora,"""Não sejas mau para mim""",Portuguese,28,14,20,1986
