Unnamed: 0,Country,Artist,Song,Language,Points,Place,Order,Year
0,Portugal,Doce,"""Bem bom""",Portuguese,32,13,1,1982
1,Luxembourg,Svetlana,"""Cours après le temps""",French,78,6,2,1982
2,Norway,Jahn Teigen and Anita Skorgan,"""Adieu""",Norwegian,40,12,3,1982
3,United Kingdom,Bardo,"""One Step Further""",English,76,7,4,1982
4,Turkey,Neco,"""Hani?""",Turkish,20,15,5,1982
5,Finland,Kojo,"""Nuku pommiin""",Finnish,0,18,6,1982
6,Switzerland,Arlette Zola,"""Amour on t'aime""",French,97,3,7,1982
7,Cyprus,Anna Vissi,"""Mono i agapi"" (Μόνο η αγάπη)",Greek,85,5,8,1982
8,Sweden,Chips,"""Dag efter dag""",Swedish,67,8,9,1982
9,Austria,Mess,"""Sonntag""",German,57,9,10,1982
10,Belgium,Stella,"""Si tu aimes ma musique""",French,96,4,11,1982
11,Spain,Lucía,"""Él""",Spanish,52,10,12,1982
12,Denmark,Brixx,"""Video-video""",Danish,5,17,13,1982
13,Yugoslavia,Aska,"""Halo, halo"" (Хало, хало)",Serbo-Croatian,21,14,14,1982
14,Israel,Avi Toledano,"""Hora"" (הורה)",Hebrew,100,2,15,1982
15,Netherlands,Bill van Dijk,"""Jij en ik""",Dutch,8,16,16,1982
16,Ireland,The Duskeys,"""Here Today Gone Tomorrow""",English,49,11,17,1982
17,Germany,Nicole,"""Ein bißchen Frieden""",German,161,1,18,1982
