Unnamed: 0,Country,Artist,Song,Language,Points,Place,Order,Year
0,Israel,PingPong,"""Sameach"" (שמח)",Hebrew[b],7,22,1,2000
1,Netherlands,Linda Wagenmakers,"""No Goodbyes""",English,40,13,2,2000
2,United Kingdom,Nicki French,"""Don't Play That Song Again""",English,28,16,3,2000
3,Estonia,Ines,"""Once in a Lifetime""",English,98,4,4,2000
4,France,Sofia Mestari,"""On aura le ciel""",French,5,23,5,2000
5,Romania,Taxi,"""The Moon""",English,25,17,6,2000
6,Malta,Claudette Pace,"""Desire""",English[c],73,8,7,2000
7,Norway,Charmed,"""My Heart Goes Boom""",English,57,11,8,2000
8,Russia,Alsou,"""Solo""",English,155,2,9,2000
9,Belgium,Nathalie Sorce,"""Envie de vivre""",French,2,24,10,2000
10,Cyprus,Voice,"""Nomiza"" (Νόμιζα)","Greek, Italian",8,21,11,2000
11,Iceland,August and Telma,"""Tell Me!""",English,45,12,12,2000
12,Spain,Serafín Zubiri,"""Colgado de un sueño""",Spanish,18,18,13,2000
13,Denmark,Olsen Brothers,"""Fly on the Wings of Love""",English,195,1,14,2000
14,Germany,Stefan Raab,"""Wadde hadde dudde da?""","German, English",96,5,15,2000
15,Switzerland,Jane Bogaert,"""La vita cos'è?""",Italian,14,20,16,2000
16,Croatia,Goran Karan,"""Kad zaspu anđeli""",Croatian,70,9,17,2000
17,Sweden,Roger Pontare,"""When Spirits Are Calling My Name""",English,88,7,18,2000
18,Macedonia,XXL,"""100% te ljubam"" (100% те љубам)","Macedonian, English",29,15,19,2000
19,Finland,Nina Åström,"""A Little Bit""",English,18,18,20,2000
20,Latvia,Brainstorm,"""My Star""",English,136,3,21,2000
21,Turkey,Pınar Ayhan and the SOS,"""Yorgunum Anla""","Turkish, English",59,10,22,2000
22,Ireland,Eamonn Toal,"""Millennium of Love""",English,92,6,23,2000
23,Austria,The Rounder Girls,"""All to You""",English,34,14,24,2000
